Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross
Spider-Man: Into the Spider-Verse,Movie,2018-12-14,7020,Animation,0,87,8.4,554055,tt4633694,90000000,384256930
Mortal Engines,Movie,2018-12-14,7680,Action,,44,6.1,130118,tt1571234,100000000,83869818
The Mule,Movie,2018-12-14,6960,Crime,,58,7.0,142119,tt7959026,50000000,174804407
If Beale Street Could Talk,Movie,2018-12-25,7140,Drama,2,87,7.1,50467,tt7125860,12000000,20596567
Mary Poppins Returns,Movie,2018-12-19,7800,Adventure,4,66,6.7,90794,tt5028340,130000000,349546142
Aquaman,Movie,2018-12-21,8580,Action,,55,6.8,487401,tt1477834,160000000,1148528393
Bumblebee,Movie,2018-12-21,6840,Action,,66,6.7,171961,tt4701182,135000000,467989645
Welcome to Marwen,Movie,2018-12-21,6960,Biography,,40,6.2,24816,tt3289724,39000000,13061491
Second Act,Movie,2018-12-21,6180,Comedy,,46,5.8,28739,tt2126357,16000000,72294066
Cold War,Movie,2018-6-8,5340,Drama,3,90,7.5,59080,tt6543652,4300000,20346993
Sherlock Holmes: A Game of Shadows,Movie,2011-12-16,7740,Action,,48,7.4,464005,tt1515091,125000000,543848418
Vice,Movie,2018-12-25,7920,Biography,7,61,7.2,152709,tt6266538,60000000,76073488
On the Basis of Sex,Movie,2019-1-11,7200,Biography,,59,7.1,35918,tt4669788,20000000,38755900
Destroyer,Movie,2018-12-27,7260,Action,,62,6.2,30563,tt7137380,9000000,5580940
Black Mirror: Bandersnatch,Movie,2018-12-28,5400,Drama,0,,7.1,129602,tt9495224,,
Escape Room,Movie,2019-1-4,5940,Action,,48,6.4,128578,tt5886046,9000000,155712077
Rust Creek,Movie,2019-1-4,6480,Crime,,59,5.9,12327,tt6610158,,
American Hangman,Movie,2019-1-4,5940,Crime,,38,5.9,3652,tt8975028,,
A Dog's Way Home,Movie,2019-1-11,5760,Adventure,,50,6.7,18919,tt7616798,18000000,80708134
The Upside,Movie,2019-1-11,7560,Comedy,,46,7.0,58560,tt1987680,37500000,125856180
Replicas,Movie,2019-1-11,6420,Drama,,19,5.4,39978,tt4154916,30000000,9330075
After Darkness,Movie,2019-1-15,5880,Drama,,,3.7,1174,tt2728784,,
Glass,Movie,2019-1-18,7740,Drama,,43,6.6,251594,tt6823368,20000000,246999039
Close,Movie,2019-1-18,5640,Action,,51,5.7,25777,tt5316540,,60040
The Standoff at Sparrow Creek,Movie,2019-1-18,5280,Crime,,62,6.1,4328,tt5304996,450000,
